668,331.5,124,339
664.5,338,121,332
656.5,335,121,332
650.5,333.5,119,325
646,327.5,116,319
638.5,316,121,332
636.5,327,121,332
637.5,330.5,119,325
640,328.5,114,313
636,312.5,114,313
635,309.5,112,307
634,316.5,110,301
632.5,324.5,105,289
625.5,317.5,107,295
621.5,317.5,105,289
616.5,309.5,105,289
614.5,306.5,105,289
612.5,313.5,103,283
611.5,312.5,103,283
610.5,312,101,278
608.5,303,101,278
608.5,302,99,272
607.5,305.5,97,267
604.5,310,95,262
600.5,308,95,262
597.5,308,93,256
595.5,301,93,256
593.5,301,93,256
593.5,305,93,256
596,308.5,92,251
599,305.5,92,251
602,304,90,246
600,296.5,92,251
603,300.5,92,251
603,301.5,92,251
604,304,90,246
603,300,90,246
605,298,88,242
608,298.5,86,237
609.5,302,85,232
615.5,301,83,228
621.5,300.5,81,223
624,300.5,80,219
629,300.5,80,219
632,300.5,80,219
633,301.5,80,219
634,300.5,80,219
637,297.5,80,219
641,297,78,214
642.5,300,77,210
644.5,299,77,210
649.5,298,77,210
653.5,296,77,210
656.5,296,77,210
658.5,296,77,210
661.5,295,77,210
665.5,296,77,210
671.5,296,77,210
675.5,296,77,210
681.5,295,77,210
686.5,296,77,210
691.5,295,77,210
695.5,296,77,210
699.5,298,77,210
705.5,299,77,210
703.5,297,77,210
703.5,303,75,206
702.5,308,75,206
698.5,311,75,206
679,303,74,202
676.5,303,75,206
678.5,302,75,206
674.5,306,75,206
675.5,303,75,206
685.5,307,75,206
693.5,303,77,210
704.5,301,77,210
716.5,306,75,206
729.5,306,77,210
749.5,302,77,210
758.5,303,77,210
764.5,306,77,210
770.5,312,77,210
742.5,302,77,210
744.5,303,77,210
748.5,302,77,210
753.5,302,77,210
759.5,304,77,210
765.5,306,77,210
771.5,306,77,210
775.5,301,77,210
779.5,297,77,210
782.5,298,77,210
785.5,300,77,210
784.5,298,77,210
781.5,298,77,210
775.5,299,77,210
766.5,300,77,210
757.5,302,77,210
746.5,302,77,210
733.5,299,77,210
722.5,298,77,210
711.5,300,77,210
695.5,299,77,210
683.5,295,77,210
671.5,295,77,210
657.5,298,77,210
650.5,297,77,210
644.5,296,77,210
639.5,297,77,210
635.5,297,77,210
631.5,297,77,210
628.5,297,77,210
627.5,296,77,210
626.5,297,77,210
625.5,297,77,210
624.5,297,77,210
623.5,296,77,210
622.5,297,77,210
623.5,296,77,210
624.5,297,77,210
625.5,297,77,210
627.5,298,77,210
629.5,298,77,210
632.5,298,77,210
641.5,298,77,210
648.5,298,77,210
652.5,298,77,210
658.5,297,77,210
665.5,296,77,210
669.5,296,77,210
676,296,78,214
694,299,78,214
702,299,78,214
708,300,78,214
714,301,78,214
722,298,78,214
728,299,78,214
730,300,78,214
735,300,78,214
739,301,78,214
743,300.5,80,219
743.5,301.5,81,223
747.5,304.5,81,223
753.5,305.5,81,223
756.5,304.5,81,223
769.5,303.5,81,223
774.5,302.5,81,223
775.5,304.5,81,223
788.5,301.5,81,223
799.5,300.5,81,223
812.5,301.5,81,223
826.5,299.5,81,223
839.5,298.5,81,223
850.5,296.5,81,223
863.5,298.5,81,223
879,297.5,80,219
887,298.5,80,219
893,297.5,80,219
899,300.5,80,219
892.5,300.5,81,223
891.5,300.5,81,223
935.5,285.5,81,223
944.5,297.5,81,223
948.5,319.5,81,223
948.5,323.5,81,223
962,320.5,80,219
967,324.5,80,219
970.5,325,83,228
973.5,324,83,228
971.5,320,83,228
962.5,318,83,228
949.5,320,83,228
937.5,325,83,228
927.5,340.5,81,223
915,347.5,80,219
902,355.5,80,219
890,360.5,80,219
870.5,374.5,81,223
860.5,378.5,81,223
864.5,342.5,81,223
866,345.5,80,219
864,349,78,214
863,349,78,214
865,349,78,214
866.5,351,77,210
865.5,351,77,210
866.5,352,77,210
868.5,351,77,210
870.5,351,77,210
871.5,351,77,210
870.5,351,77,210
869.5,351,77,210
870.5,351,77,210
871.5,350,77,210
871.5,351,77,210
870.5,350,77,210
869.5,351,77,210
869.5,350,77,210
869.5,350,77,210
870.5,350,77,210
871.5,350,77,210
872.5,349,77,210
872.5,350,77,210
871.5,349,77,210
875.5,350,75,206
884.5,349,75,206
894.5,348,75,206
903,349,74,202
912,349,72,198
917.5,350,71,194
912,377,72,198
903,357,74,202
908.5,356,75,206
916.5,359,77,210
928,366,78,214
936,370.5,80,219
944,351.5,80,219
937.5,344,77,210
922.5,316,75,206
932,316,74,202
944,312,72,198
956,302,74,202
978,297,72,198
1007,289,72,198
1043,292,72,198
1053,345,72,198
1050,385,74,202
1047,386,74,202
1047,386,74,202
1047,386,74,202
1047,386,74,202
1047,386,74,202
1047,386,74,202
